Date,BTC,SPX,GOLD
2017-08-17,4331.689941,2430.01001,1292.4
2017-08-18,4160.620117,2425.550049,1291.6
2017-08-21,4001.73999,2428.370117,1296.7
2017-08-22,4100.52002,2452.51001,1291.0
2017-08-23,4151.52002,2444.040039,1294.7
2017-08-24,4334.680176,2438.969971,1292.0
2017-08-25,4371.600098,2443.050049,1297.9
2017-08-28,4382.660156,2444.23999,1315.3
2017-08-29,4579.02002,2446.300049,1318.9
2017-08-30,4565.299805,2457.590088,1314.1
2017-08-31,4703.390137,2471.649902,1322.2
2017-09-01,4892.009766,2476.550049,1330.4
2017-09-05,4376.529785,2457.850098,1344.5
2017-09-06,4597.120117,2465.540039,1339.0
2017-09-07,4599.879883,2465.100098,1350.3
2017-09-08,4228.75,2461.429932,1351.2
2017-09-11,4161.27002,2488.110107,1335.7
2017-09-12,4130.810059,2496.47998,1332.7
2017-09-13,3882.590088,2498.370117,1328.0
2017-09-14,3154.949951,2495.620117,1329.3
2017-09-15,3637.52002,2500.22998,1325.2
2017-09-18,4065.199951,2503.870117,1310.8
2017-09-19,3924.969971,2506.649902,1310.6
2017-09-20,3905.949951,2508.23999,1316.4
2017-09-21,3631.040039,2500.600098,1294.8
2017-09-22,3630.699951,2502.219971,1297.5
2017-09-25,3926.070068,2496.659912,1311.5
2017-09-26,3892.350098,2496.840088,1301.7
2017-09-27,4200.669922,2507.040039,1287.8
2017-09-28,4174.72998,2510.060059,1288.7
2017-09-29,4163.069824,2519.360107,1284.8
2017-10-02,4409.319824,2529.120117,1275.8
2017-10-03,4317.47998,2534.580078,1274.6
2017-10-04,4229.359863,2537.73999,1276.8
2017-10-05,4328.410156,2552.070068,1273.2
2017-10-06,4370.810059,2549.330078,1274.9
2017-10-09,4772.02002,2544.72998,1285.0
2017-10-10,4781.990234,2550.639893,1293.8
2017-10-11,4826.47998,2555.23999,1288.9
2017-10-12,5446.910156,2550.929932,1296.5
2017-10-13,5647.209961,2553.169922,1304.6
2017-10-16,5725.589844,2557.639893,1303.0
2017-10-17,5605.509766,2559.360107,1286.2
2017-10-18,5590.689941,2561.26001,1283.0
2017-10-19,5708.52002,2562.100098,1290.0
2017-10-20,6011.450195,2575.209961,1280.5
2017-10-23,5930.319824,2564.97998,1280.9
2017-10-24,5526.640137,2569.129883,1278.3
2017-10-25,5750.799805,2557.149902,1279.0
2017-10-26,5904.830078,2560.399902,1269.6
2017-10-27,5780.899902,2581.070068,1271.8
2017-10-30,6130.529785,2572.830078,1277.7
2017-10-31,6468.399902,2575.26001,1270.5
2017-11-01,6767.310059,2579.360107,1277.3
2017-11-02,7078.5,2579.850098,1278.1
2017-11-03,7207.759766,2587.840088,1269.2
2017-11-06,7022.759766,2591.129883,1281.6
2017-11-07,7144.379883,2590.639893,1275.8
2017-11-08,7459.689941,2594.379883,1283.7
2017-11-09,7143.580078,2584.620117,1287.5
2017-11-10,6618.140137,2582.300049,1274.2
2017-11-13,6559.490234,2584.840088,1278.9
2017-11-14,6635.75,2578.870117,1282.9
2017-11-15,7315.540039,2564.620117,1277.7
2017-11-16,7871.689941,2585.639893,1278.2
2017-11-17,7708.990234,2578.850098,1296.5
2017-11-20,8200.639648,2582.139893,1275.3
2017-11-21,8071.259766,2599.030029,1281.7
2017-11-22,8253.549805,2597.080078,1296.8
2017-11-24,8253.69043,2602.419922,1291.8
2017-11-27,9818.349609,2601.419922,1298.9
2017-11-28,10058.799805,2627.040039,1299.2
2017-11-29,9888.610352,2626.070068,1286.2
2017-11-30,10233.599609,2647.580078,1276.7
2017-12-01,10975.599609,2642.219971,1282.3
2017-12-04,11657.200195,2639.439941,1277.7
2017-12-05,11916.700195,2629.570068,1264.9
2017-12-06,14291.5,2629.27002,1266.1
2017-12-07,17899.699219,2636.97998,1253.1
2017-12-08,16569.400391,2651.5,1248.4
2017-12-11,16936.800781,2659.98999,1246.9
2017-12-12,17415.400391,2664.110107,1241.7
2017-12-13,16408.199219,2662.850098,1248.6
2017-12-14,16564.0,2652.01001,1257.1
2017-12-15,17706.900391,2675.810059,1257.5
2017-12-18,19114.199219,2690.159912,1265.5
2017-12-19,17776.699219,2681.469971,1264.2
2017-12-20,16624.599609,2679.25,1269.6
2017-12-21,15802.900391,2684.570068,1270.6
2017-12-22,13831.799805,2683.340088,1278.8
2017-12-26,16099.799805,2680.5,1287.5
2017-12-27,15838.5,2682.620117,1291.4
2017-12-28,14606.5,2687.540039,1297.2
2017-12-29,14656.200195,2673.610107,1309.3
2018-01-02,14982.099609,2695.810059,1316.1
2018-01-03,15201.0,2713.060059,1318.5
2018-01-04,15599.200195,2723.98999,1321.6
2018-01-05,17429.5,2743.149902,1322.3
2018-01-08,15170.099609,2747.709961,1320.4
2018-01-09,14595.400391,2751.290039,1313.7
2018-01-10,14973.299805,2748.22998,1319.3
2018-01-11,13405.799805,2767.560059,1322.5
2018-01-12,13980.599609,2786.23999,1334.9
2018-01-16,11490.5,2776.419922,1337.1
2018-01-17,11188.599609,2802.560059,1339.2
2018-01-18,11474.900391,2798.030029,1327.2
2018-01-19,11607.400391,2810.300049,1333.1
2018-01-22,10931.400391,2832.969971,1331.9
2018-01-23,10868.400391,2839.129883,1336.7
2018-01-24,11359.400391,2837.540039,1361.4
2018-01-25,11259.400391,2839.25,1368.0
2018-01-26,11171.400391,2872.870117,1357.2
2018-01-29,11296.400391,2853.530029,1345.1
2018-01-30,10106.299805,2822.429932,1340.0
2018-01-31,10221.099609,2823.810059,1343.1
2018-02-01,9170.540039,2821.97998,1347.9
2018-02-02,8830.75,2762.129883,1337.3
2018-02-05,6955.27002,2648.939941,1336.5
2018-02-06,7754.0,2695.139893,1329.5
2018-02-07,7621.299805,2681.659912,1314.6
2018-02-08,8265.589844,2581.0,1319.0
2018-02-09,8736.980469,2619.550049,1315.7
2018-02-12,8926.570313,2656.0,1326.4
2018-02-13,8598.30957,2662.939941,1330.4
2018-02-14,9494.629883,2698.629883,1358.0
2018-02-15,10166.400391,2731.199951,1355.3
2018-02-16,10233.900391,2732.219971,1356.2
2018-02-20,11403.700195,2716.26001,1331.2
2018-02-21,10690.400391,2701.330078,1332.1
2018-02-22,10005.0,2703.959961,1332.7
2018-02-23,10301.099609,2747.300049,1330.3
2018-02-26,10366.700195,2779.600098,1332.8
2018-02-27,10725.599609,2744.280029,1315.5
2018-02-28,10397.900391,2713.830078,1317.9
2018-03-01,10951.0,2677.669922,1305.2
2018-03-02,11086.400391,2691.25,1323.4
2018-03-05,11573.299805,2720.939941,1319.9
2018-03-06,10779.900391,2728.120117,1335.2
2018-03-07,9965.570313,2726.800049,1327.6
2018-03-08,9395.009766,2738.969971,1321.7
2018-03-09,9337.549805,2786.570068,1324.0
2018-03-12,9205.120117,2783.02002,1320.8
2018-03-13,9194.849609,2765.310059,1327.1
2018-03-14,8269.80957,2749.47998,1325.6
2018-03-15,8300.860352,2747.330078,1317.8
2018-03-16,8338.349609,2752.01001,1312.3
2018-03-19,8630.650391,2712.919922,1317.8
2018-03-20,8913.469727,2716.939941,1311.9
2018-03-21,8929.280273,2711.929932,1321.5
2018-03-22,8728.469727,2643.689941,1333.2
2018-03-23,8879.620117,2588.26001,1355.7
2018-03-26,8209.400391,2658.550049,1360.9
2018-03-27,7833.040039,2612.620117,1347.9
2018-03-28,7954.47998,2605.0,1330.0
2018-03-29,7165.700195,2640.870117,1327.3
2018-04-02,7083.799805,2581.879883,1352.9
2018-04-03,7456.109863,2614.449951,1337.3
2018-04-04,6853.839844,2644.689941,1340.2
2018-04-05,6811.470215,2662.840088,1328.5
